"lang"
{
"Language"		"spanish"
"Tokens"
{
// replace English with translation language native name and your nickname at the end.
"[english]ror_translationCredit"		"English translations by ModdedMarionette."
"ror_translationCredit"		"Traducciones al español por bravepotato95."
"[english]ror_translationVersion"		"Translation Version: v1.2"
"ror_translationVersion"		"Versión de la traducción: v1.2"

"[english]rd_challenge_desc_ror"		"A roguelike challenge where you take on a journey to defeat the Boss without restarting while collecting items that you can bring across maps to assist you."
"rd_challenge_desc_ror"		"Un desafío roguelike en el que emprenderás un viaje para derrotar al Jefe sin reiniciar mientras recoges objetos que podrás llevar a través de los mapas para que te ayuden."
"[english]ror_mapOnCooldown"		"This map is currently on cooldown. Please select another map!"
"ror_mapOnCooldown"		"Este mapa está en proceso de enfriamiento. ¡Por favor, selecciona otro mapa!"
"[english]ror_howToInv"		"%s1Type %s2 to inspect the inventory of the marine you are playing as or spectating."
"ror_howToInv"		"%s1Escribe %s2 para inspeccionar el inventario del marine con el que estás jugando o como espectador."
"[english]ror_itemPickup"		"%s1You have picked up %s2: %s3"
"ror_itemPickup"		"%s1Has recogido %s2: %s3"
"[english]ror_itemPickupOther"		"%s1 has picked up %s2: %s3"
"ror_itemPickupOther"		"%s1 ha recogido %s2: %s3"
"[english]ror_newItemCount"		"%s1You now have %s2 stacks of %s3."
"ror_newItemCount"		"%s1Ahora tienes %s2 pilas de %s3."
"[english]ror_newItemCount_1"		"%s1You now have %s2 stack of %s3."
"ror_newItemCount_1"		"%s1Ahora tienes %s2 pila de %s3."
"[english]ror_bossKeyDropped"		"The Boss Key has been dropped. Carry it to the end of the stage to spawn the Boss on the next stage."
"ror_bossKeyDropped"		"La Llave del Jefe ha caído. Llévala al final de la fase para que aparezca el Jefe en la siguiente fase."
"[english]ror_bossKilled"		"The boss has been defeated. Complete the current stage to end the run with a victory."
"ror_bossKilled"		"El Jefe ha sido derrotado. Completa la fase actual para terminar la partida con una victoria."
"[english]ror_everyInvListed"		"Every marine's inventory has been listed above. See console for full view."
"ror_everyInvListed"		"El inventario de cada marine ha sido listado arriba. Consulta la consola para obtener una vista completa."
"[english]ror_progressReport_gameOver"		"%s1Game over: Completed %s2 stages in %s3 on %s4 difficulty."
"ror_progressReport_gameOver"		"%s1Fin del juego: Completadas %s2 etapas en %s3 en dificultad %s4."
"[english]ror_progressReport_gameOver_1"		"%s1Game over: Completed %s2 stage in %s3 on %s4 difficulty."
"ror_progressReport_gameOver_1"		"%s1Fin del juego: Completada %s2 etapa en %s3 en dificultad %s4."
"[english]ror_progressReport_victory"		"%s1VICTORY: Completed %s2 stages in %s3 on %s4 difficulty."
"ror_progressReport_victory"		"%s1VICTORIA: Completadas %s2 etapas en %s3 en dificultad %s4."
"[english]ror_progressReport_victory_1"		"%s1VICTORY: Completed %s2 stage in %s3 on %s4 difficulty."
"ror_progressReport_victory_1"		"%s1VICTORIA: Completada %s2 etapa en %s3 en dificultad %s4."
"[english]ror_progressReport_load"		"Loaded saved progress: %s1 at Stage %s2 on %s3 difficulty."
"ror_progressReport_load"		"Se ha cargado el progreso guardado: %s1 en la fase %s2 en dificultad %s3."
"[english]ror_progressReport_save"		"Saved progress: %s1 at Stage %s2 on %s3 difficulty."
"ror_progressReport_save"		"Progreso guardado: %s1 en la fase %s2 en dificultad %s3."
"[english]ror_totalKills"		"%s1A total of %s2 kills within this run."
"ror_totalKills"		"%s1Un total de %s2 asesinatos en esta partida."
"[english]ror_diffNotMatch"		"Current difficulty does not match saved progress. Changing difficulty..."
"ror_diffNotMatch"		"La dificultad actual no coincide con el progreso guardado. Cambiar la dificultad..."
"[english]ror_loadedInv"		"Loaded %s1's inventory."
"ror_loadedInv"		"Cargado el inventario de %s1."
"[english]ror_deleteInv"		"%s1 is inactive. Deleting %s1's inventory..."
"ror_deleteInv"		"%s1 está inactivo. Eliminando el inventario de %s1..."
"[english]ror_currentCarnage"		"%s1Current carnage level: %s2"
"ror_currentCarnage"		"%s1Nivel actual de carnicería: %s2"
"[english]ror_outlierAssist"		"%s1Outlier assist: You have been given %s2 random items to catch up with the team's progress."
"ror_outlierAssist"		"%s1Ayuda para casos anómalos: Has recibido %s2 objetos aleatorios para ponerte al día con el progreso del equipo."
"[english]ror_outlierAssistOther"		"%s1Outlier assist: %s2 has been given %s3 random items to catch up with the team's progress."
"ror_outlierAssistOther"		"%s1Ayuda para casos anómalos: %s2 ha recibido %s3 objetos aleatorios para ponerse al día con el progreso del equipo."
"[english]ror_bossSpawned"		"%s1The boss has been spawned on this stage. Completing the stage after defeating the boss will end the run with a victory. Completing the stage without defeating the boss will continue the run."
"ror_bossSpawned"		"%s1El Jefe ha aparecido en esta fase. Completar la fase después de derrotar al Jefe terminará la partida con una victoria. Si completas la fase sin derrotar al Jefe, continuarás la partida."
"[english]ror_bossSpawnFail"		"The boss has failed to spawn. Queued another boss spawn for the next stage."
"ror_bossSpawnFail"		"El Jefe no ha aparecido. Se ha puesto a la cola la aparición de otro Jefe para la siguiente fase."
"[english]ror_bossWillSpawn"		"The Boss will be spawned on the following stage."
"ror_bossWillSpawn"		"El Jefe aparecerá en la siguiente fase."
"[english]ror_invDivider"		"%s1===== %s2's Inventory ====="
"ror_invDivider"		"%s1===== Inventario de %s2 ====="
"[english]ror_noItems"		"=== No items to inspect. ==="
"ror_noItems"		"=== No hay elementos que inspeccionar. ==="
"[english]ror_invItem"		"%s1: %s2"
"ror_invItem"		"%s1: %s2"
"[english]ror_seeConsole"		"See console for full view."
"ror_seeConsole"		"Consulta la consola para obtener una vista completa."
"[english]ror_queenObj"		"Eliminate all Queens"
"ror_queenObj"		"Elimina todas las Reinas"
"[english]ror_queenObjDesc"		"[Optional] The Boss Key is required for spawning the Boss on the following stage. Eliminate all Queens to obtain the Boss Key before carrying it to the end of the stage."
"ror_queenObjDesc"		"[Opcional] La Llave del Jefe es necesaria para que aparezca el Jefe en la siguiente fase. Elimina a todas las Reinas para obtener la Llave del Jefe antes de llevarla al final de la fase."
"[english]ror_keyObj"		"Escort the Boss Key"
"ror_keyObj"		"Escolta a la Llave del Jefe"
"[english]ror_keyObjDesc"		"[Optional] Carry the Boss Key to the end of the stage in order to spawn the Boss on the following stage."
"ror_keyObjDesc"		"[Opcional] Lleva la Llave del Jefe hasta el final de la fase para que aparezca el Jefe en la siguiente fase."
"[english]ror_bossObj"		"Defeat the Boss"
"ror_bossObj"		"Derrota al Jefe"
"[english]ror_bossObjDesc"		"[Optional] Defeat the Boss to conclude the run with a victory."
"ror_bossObjDesc"		"[Opcional] Derrota al Jefe para concluir la partida con una victoria."

"[english]ror_itemDesc_white_medkit"		"Chance to drop Healing Kit on kill. Stacks chance."
"ror_itemDesc_white_medkit"		"Posibilidad de soltar un Kit de Curación al matar. Las acumulaciones aumentan la probabilidad."
"[english]ror_itemDesc_white_welder"		"All nearby teammates gain +50% damage and +50% resistance during hack. Stacks range."
"ror_itemDesc_white_welder"		"Todos los compañeros cercanos ganan +50% de daño y +50% de resistencia durante el hackeo. Las acumulaciones aumentan el alcance."
"[english]ror_itemDesc_white_flares"		"Chance to ignite enemy on hit. Stacks chance."
"ror_itemDesc_white_flares"		"Probabilidad de incendiar al enemigo al golpear. Las acumulaciones aumentan la probabilidad."
"[english]ror_itemDesc_white_laser_mines"		"Explode taken damage once. Recharges when out of danger. Stacks range."
"ror_itemDesc_white_laser_mines"		"Explota al recibir daño una vez. Se recarga cuando está fuera de peligro. Las acumulaciones aumentan el alcance."
"[english]ror_itemDesc_white_normal_armor"		"+10% resistance. Stacks said effect."
"ror_itemDesc_white_normal_armor"		"+10% de resistencia. Las acumulaciones aumentan dicho efecto."
"[english]ror_itemDesc_white_buff_grenade"		"Increased damage against enemies above 90% health. Stacks damage."
"ror_itemDesc_white_buff_grenade"		"Aumenta el daño contra enemigos por encima del 90% de salud. Las acumulaciones aumentan el daño."
"[english]ror_itemDesc_white_hornet_barrage"		"Using a button for the first time fires rockets. Stacks number of rockets."
"ror_itemDesc_white_hornet_barrage"		"Utilizar un botón por primera vez dispara cohetes. Las acumulaciones aumentan el número de cohetes."
"[english]ror_itemDesc_white_freeze_grenades"		"Chance to freeze enemy on hit. Stacks chance."
"ror_itemDesc_white_freeze_grenades"		"Probabilidad de congelar al enemigo al golpear. Las acumulaciones aumentan la probabilidad."
"[english]ror_itemDesc_white_stim"		"Upon taking damage, heal 2 seconds after not being hit. Stacks heal amount."
"ror_itemDesc_white_stim"		"Al recibir daño, te curas 2 segundos después de no haber sido golpeado. Las acumulaciones aumentan la cantidad curada."
"[english]ror_itemDesc_white_tesla_trap"		"Chance to stun enemy on hit. Stacks chance."
