"lang"
{
"Language" "English"
"Tokens"
{
// asw
"asw_SynTekMegacorp"	"SynTek Megacorporation Inc."
"asw_SynTekSlogan1"	"\"Pushing the boundaries of humanity.\""
"asw_SynTekSlogan2"	"\"Pioneers in Space and Science.\""
"asw_SynTekSlogan3"	"\"Reaching out.\""
"asw_SynTekSlogan4"	"\"We take responsibility.\""
"asw_SynTekSlogan5"	"\"Improving on nature's design.\""
"asw_SynTekScrollLine0"	"Boot ROM signed correctly."
"asw_SynTekScrollLine1"	"Host OS authentication successful."
"asw_SynTekScrollLine2"	"SynNET connection..."
"asw_SynTekScrollLine3"	"."
"asw_SynTekScrollLine4"	"."
"asw_SynTekScrollLine5"	"established!"
"asw_SynTekScrollLine6"	" "
"asw_SynTekScrollLine7"	"Checking binary code revocations..."
"asw_SynTekScrollLine8"	"Low latency SynTek HQ monitoring process started."
"asw_SynTekScrollLine9"	" "
"asw_SynTekScrollLine10"	"Launching user security module..."
"asw_SynTekScrollLine11"	" "
"asw_SynTekScrollLine12"	"IAF Transponder Detected."
"asw_SynTekScrollLine13"	"Code IAFN6392-SYN class 5 facility emergency signal recognised."
"asw_SynTekScrollLine14"	"Override code accepted."
"asw_SynTekScrollLine15"	" "
"asw_SynTekScrollLine16"	"SynTek Megacorporation Network Terminal granting Guest User rights to"
"asw_SynTekScrollLine17"	"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"	"Under authority of Interstellar Corporate Communications Act #8726/K23 Subsection 5"
"asw_SynTekScrollLine19"	"concerning use of critical system in class 5 emergency situation."
"asw_SynTekScrollLine20"	" "
"asw_SynTekScrollLine21"	"All actions will be logged and any unnecessary data access will result"
"asw_SynTekScrollLine22"	"in legal action and termination of SynTek consumer privileges."
"asw_SynTekScrollLine23"	" "
"asw_SynTekScrollLine24"	"Enumerating interface menu options for Guest user..."
"asw_SynTekScrollLine25"	"Launching menu system..."
"asw_SynTekScrollLine26"	" "
"asw_SynTekSecurityCam1"	"Security Cam 1"
"asw_SynTekSecurityCam2"	"Security Cam 2"
"asw_SynTekSecurityCam3"	"Security Cam 3"
"asw_SynTekTurret1"	"Turret 1"
"asw_SynTekTurret2"	"Turret 2"
"asw_SynTekTurret3"	"Turret 3"
"asw_SynTekMail"	"Mail"
"asw_SynTekNews"	"News"
"asw_SynTekStocks"	"Stocks"
"asw_SynTekAtmospherics"	"Atmospherics"
"asw_SynTekPlantStatus"	"Plant Status"
"asw_SynTekBackButton"	"Back"
"asw_SynTekReactorLabel"	"Reactor"
"asw_SynTekHeatExchangerLabel"	"Heat Exchanger"
"asw_SynTekCoolingTowerLabel"	"Cooling Tower"
"asw_SynTekDrivingPistonsLabel"	"Driving Pistons"
"asw_SynTekTemperaturesLabel"	"TEMPERATURES:"
"asw_SynTekPrimaryCoolantLabel"	"Primary Coolant"
"asw_SynTekSecondaryCoolantLabel"	"Secondary Coolant"
"asw_SynTekEmergencyCoolantLabel"	"Emergency Coolant"
"asw_SynTekEnergyBusLabel"	"Energy Transfer Bus Raw Output:"
"asw_SynTekReactorStatusLabel"	"REACTOR"
"asw_SynTekReactorOnlineLabel"	"ONLINE"
"asw_SynTekReactorOfflineLabel"	"OFFLINE"
"asw_SynTekEnergyNameLabel"	"ENERGY OUTPUT"
"asw_SynTekEfficiencyNameLabel"	"OPERATING\nEFFICIENCY"
"asw_SynTekFlagLabel0"	"Out"
"asw_SynTekFlagLabel1"	"Lock"
"asw_SynTekFlagLabel2"	"Dampening"
"asw_SynTekFlagLabel3"	"Turbine Overload"
"asw_SynTekFlagLabel4"	"Turbine Failure"
"asw_SynTekFlagLabel5"	"Heat Ex. Overload"
"asw_SynTekFlagLabel6"	"Heat Exchanger Failure"
"asw_SynTekFlagLabel7"	"Primary Coolant Leak"
"asw_SynTekFlagLabel8"	"Secondary Coolant Leak"
"asw_SynTekFlagLabel9"	"Emergency Coolant Leak"
"asw_SynTekFlagLabel10"	"Subspace Hook-up"
"asw_SynTekFlagLabel11"	"SynTek HQ Link"
"asw_MailAccount"	"Mail Account:"
"asw_MailBodyLabel"	"Message:"
"asw_menu_start_new_campaign"	"Start New Campaign"
"asw_menu_load_campaign"	"Load Saved Campaign"
"asw_menu_single_mission"	"Single Mission"
"asw_menu_back"	"Back"
"asw_menu_IAF_training"	"IAF Training"
"asw_menu_singleplayer"	"Singleplayer"
"asw_menu_find_server"	"Find Server"
"asw_menu_create_server"	"Create Server"
"asw_menu_friends"	"Friends"
"asw_menu_options"	"Options"
"asw_menu_quit"	"Quit"
}
}
