"lang"
{
"Language"	"schinese"
"Tokens"
{
"asw_SynTekMegacorp"	"SynTek 特大集团公司。"
"[english]asw_SynTekMegacorp"	"SynTek Megacorporation Inc."
"asw_SynTekSlogan1"	"“推动人类的发展。”"
"[english]asw_SynTekSlogan1"	"\"Pushing the boundaries of humanity.\""
"asw_SynTekSlogan2"	"“开拓空间与科技。”"
"[english]asw_SynTekSlogan2"	"\"Pioneers in Space and Science.\""
"asw_SynTekSlogan3"	"“迈向未来。”"
"[english]asw_SynTekSlogan3"	"\"Reaching out.\""
"asw_SynTekSlogan4"	"“我们承担责任。”"
"[english]asw_SynTekSlogan4"	"\"We take responsibility.\""
"asw_SynTekSlogan5"	"“改善大自然的设计。”"
"[english]asw_SynTekSlogan5"	"\"Improving on nature's design.\""
"asw_SynTekScrollLine0"	"启动 ROM 签名正确。"
"[english]asw_SynTekScrollLine0"	"Boot ROM signed correctly."
"asw_SynTekScrollLine1"	"主机操作系统成功通过验证。"
"[english]asw_SynTekScrollLine1"	"Host OS authentication successful."
"asw_SynTekScrollLine2"	"SynNET 连接…"
"[english]asw_SynTekScrollLine2"	"SynNET connection..."
"asw_SynTekScrollLine3"	"."
"[english]asw_SynTekScrollLine3"	"."
"asw_SynTekScrollLine4"	"."
"[english]asw_SynTekScrollLine4"	"."
"asw_SynTekScrollLine5"	"已建立！"
"[english]asw_SynTekScrollLine5"	"established!"
"asw_SynTekScrollLine6"	" "
"[english]asw_SynTekScrollLine6"	" "
"asw_SynTekScrollLine7"	"检查二进制代码吊销…"
"[english]asw_SynTekScrollLine7"	"Checking binary code revocations..."
"asw_SynTekScrollLine8"	"SynTek 总部低延迟监视进程启动。"
"[english]asw_SynTekScrollLine8"	"Low latency SynTek HQ monitoring process started."
"asw_SynTekScrollLine9"	" "
"[english]asw_SynTekScrollLine9"	" "
"asw_SynTekScrollLine10"	"启动用户安全模块…"
"[english]asw_SynTekScrollLine10"	"Launching user security module..."
"asw_SynTekScrollLine11"	" "
"[english]asw_SynTekScrollLine11"	" "
"asw_SynTekScrollLine12"	"检测到 IAF 转发器。"
"[english]asw_SynTekScrollLine12"	"IAF Transponder Detected."
"asw_SynTekScrollLine13"	"代码IAFN6392-SYN，等级五，设备紧急信号确认。"
"[english]asw_SynTekScrollLine13"	"Code IAFN6392-SYN class 5 facility emergency signal recognised."
"asw_SynTekScrollLine14"	"改写代码已接受。"
"[english]asw_SynTekScrollLine14"	"Override code accepted."
"asw_SynTekScrollLine15"	" "
"[english]asw_SynTekScrollLine15"	" "
"asw_SynTekScrollLine16"	"SynTek 特大企业网络终端授权访客用户"
"[english]asw_SynTekScrollLine16"	"SynTek Megacorporation Network Terminal granting Guest User rights to"
"asw_SynTekScrollLine17"	"二等兵 David 'Crash' Murphy。"
"[english]asw_SynTekScrollLine17"	"Private David 'Crash' Murphy."
"asw_SynTekScrollLine18"	"根据星际集团通讯权8726号文件K23条第5款授权"
"[english]asw_SynTekScrollLine18"	"Under authority of Interstellar Corporate Communications Act #8726/K23 Subsection 5"
"asw_SynTekScrollLine19"	"关于在五级紧急情况下使用关键系统。"
"[english]asw_SynTekScrollLine19"	"concerning use of critical system in class 5 emergency situation."
"asw_SynTekScrollLine20"	" "
"[english]asw_SynTekScrollLine20"	" "
"asw_SynTekScrollLine21"	"所有操作将被记录并且任何不必要的数据访问将会"
"[english]asw_SynTekScrollLine21"	"All actions will be logged and any unnecessary data access will result"
"asw_SynTekScrollLine22"	"触犯法律，SynTek 客户特权将会被中止。"
"[english]asw_SynTekScrollLine22"	"in legal action and termination of SynTek consumer privileges."
"asw_SynTekScrollLine23"	" "
"[english]asw_SynTekScrollLine23"	" "
"asw_SynTekScrollLine24"	"正在展开访客用户菜单选项…"
"[english]asw_SynTekScrollLine24"	"Enumerating interface menu options for Guest user..."
"asw_SynTekScrollLine25"	"启动菜单系统…"
"[english]asw_SynTekScrollLine25"	"Launching menu system..."
"asw_SynTekScrollLine26"	" "
"[english]asw_SynTekScrollLine26"	" "
"asw_SynTekSecurityCam1"	"监控摄像头1"
"[english]asw_SynTekSecurityCam1"	"Security Cam 1"
"asw_SynTekSecurityCam2"	"监控摄像头2"
"[english]asw_SynTekSecurityCam2"	"Security Cam 2"
"asw_SynTekSecurityCam3"	"监控摄像头3"
"[english]asw_SynTekSecurityCam3"	"Security Cam 3"
"asw_SynTekTurret1"	"炮塔1"
"[english]asw_SynTekTurret1"	"Turret 1"
"asw_SynTekTurret2"	"炮塔2"
"[english]asw_SynTekTurret2"	"Turret 2"
"asw_SynTekTurret3"	"炮塔3"
"[english]asw_SynTekTurret3"	"Turret 3"
"asw_SynTekMail"	"邮箱"
"[english]asw_SynTekMail"	"Mail"
"asw_SynTekNews"	"新闻"
"[english]asw_SynTekNews"	"News"
"asw_SynTekStocks"	"股票"
"[english]asw_SynTekStocks"	"Stocks"
"asw_SynTekAtmospherics"	"大气"
"[english]asw_SynTekAtmospherics"	"Atmospherics"
"asw_SynTekPlantStatus"	"设施状态"
"[english]asw_SynTekPlantStatus"	"Plant Status"
"asw_SynTekBackButton"	"返回"
"[english]asw_SynTekBackButton"	"Back"
"asw_SynTekReactorLabel"	"反应堆"
"[english]asw_SynTekReactorLabel"	"Reactor"
"asw_SynTekHeatExchangerLabel"	"热交换器"
"[english]asw_SynTekHeatExchangerLabel"	"Heat Exchanger"
"asw_SynTekCoolingTowerLabel"	"冷却塔"
"[english]asw_SynTekCoolingTowerLabel"	"Cooling Tower"
"asw_SynTekDrivingPistonsLabel"	"加压活塞"
"[english]asw_SynTekDrivingPistonsLabel"	"Driving Pistons"
"asw_SynTekTemperaturesLabel"	"温度："
"[english]asw_SynTekTemperaturesLabel"	"TEMPERATURES:"
"asw_SynTekPrimaryCoolantLabel"	"主冷却剂"
"[english]asw_SynTekPrimaryCoolantLabel"	"Primary Coolant"
"asw_SynTekSecondaryCoolantLabel"	"次级冷却剂"
"[english]asw_SynTekSecondaryCoolantLabel"	"Secondary Coolant"
"asw_SynTekEmergencyCoolantLabel"	"备用冷却剂"
"[english]asw_SynTekEmergencyCoolantLabel"	"Emergency Coolant"
"asw_SynTekEnergyBusLabel"	"能量输送母线原始输出："
"[english]asw_SynTekEnergyBusLabel"	"Energy Transfer Bus Raw Output:"
"asw_SynTekReactorStatusLabel"	"反应堆"
"[english]asw_SynTekReactorStatusLabel"	"REACTOR"
"asw_SynTekReactorOnlineLabel"	"在线"
"[english]asw_SynTekReactorOnlineLabel"	"ONLINE"
"asw_SynTekReactorOfflineLabel"	"离线"
"[english]asw_SynTekReactorOfflineLabel"	"OFFLINE"
"asw_SynTekEnergyNameLabel"	"能量输出"
"[english]asw_SynTekEnergyNameLabel"	"ENERGY OUTPUT"
"asw_SynTekEfficiencyNameLabel"	"运作\n效率"
"[english]asw_SynTekEfficiencyNameLabel"	"OPERATING\nEFFICIENCY"
"asw_SynTekFlagLabel0"	"登出"
"[english]asw_SynTekFlagLabel0"	"Out"
"asw_SynTekFlagLabel1"	"锁定"
"[english]asw_SynTekFlagLabel1"	"Lock"
"asw_SynTekFlagLabel2"	"抑制"
"[english]asw_SynTekFlagLabel2"	"Dampening"
"asw_SynTekFlagLabel3"	"涡轮过载"
"[english]asw_SynTekFlagLabel3"	"Turbine Overload"
"asw_SynTekFlagLabel4"	"涡轮故障"
"[english]asw_SynTekFlagLabel4"	"Turbine Failure"
"asw_SynTekFlagLabel5"	"热交换器过载"
"[english]asw_SynTekFlagLabel5"	"Heat Ex. Overload"
"asw_SynTekFlagLabel6"	"热交换器故障"
"[english]asw_SynTekFlagLabel6"	"Heat Exchanger Failure"
"asw_SynTekFlagLabel7"	"主冷却剂泄露"
"[english]asw_SynTekFlagLabel7"	"Primary Coolant Leak"
"asw_SynTekFlagLabel8"	"次级冷却剂泄露"
"[english]asw_SynTekFlagLabel8"	"Secondary Coolant Leak"
"asw_SynTekFlagLabel9"	"备用冷却剂泄露"
"[english]asw_SynTekFlagLabel9"	"Emergency Coolant Leak"
"asw_SynTekFlagLabel10"	"子空间连接"
"[english]asw_SynTekFlagLabel10"	"Subspace Hook-up"
"asw_SynTekFlagLabel11"	"SynTek 总部连接"
"[english]asw_SynTekFlagLabel11"	"SynTek HQ Link"
"asw_MailAccount"	"邮箱账户："
"[english]asw_MailAccount"	"Mail Account:"
"asw_MailBodyLabel"	"信息："
"[english]asw_MailBodyLabel"	"Message:"
"asw_menu_start_new_campaign"	"开始新战役"
"[english]asw_menu_start_new_campaign"	"Start New Campaign"
"asw_menu_load_campaign"	"载入保存的战役存档"
"[english]asw_menu_load_campaign"	"Load Saved Campaign"
"asw_menu_single_mission"	"单人任务"
"[english]asw_menu_single_mission"	"Single Mission"
