"lang"
{
"Language"	"german"
"Tokens"
{
"Valve_Listen_MapName"	"Karte"
"Valve_Movement_Title"	"BEWEGUNG"
"Valve_Move_Forward"	"Vorwärts gehen"
"Valve_Move_Back"	"Geh zurück"
"Valve_Turn_Left"	"Links abbiegen"
"Valve_Turn_Right"	"Rechts abbiegen"
"Valve_Move_Left"	"Nach links bewegen (strafe)"
"Valve_Move_Right"	"Nach rechts bewegen (strafe)"
"Valve_Jump"	"Jump"
"Valve_Duck"	"Ente"
"Valve_Swim_Up"	"Schwimmen Sie auf"
"Valve_Swim_Down"	"Schwimme runter"
"Valve_Look_Up"	"Schau nach oben"
"Valve_Look_Down"	"Schau nach unten"
"Valve_Look_Straight_Ahead"	"Schau geradeaus"
"Valve_Strafe_Modifier"	"Strafe-Modifikator"
"Valve_Mouse_Look_Modifier"	"Maus-Look-Modifikator"
"Valve_Keyboard_Look_Modifier"	"Tastatur-Look-Modifikator"
"Valve_Use_Items"	"Gegenstand verwenden (Tasten, Maschinen, ...)"
"Valve_Pickup_Use_Objects"	"Objekte abholen/verwenden"
"Valve_Communication_Title"	"KOMMUNIKATION"
"Valve_Use_Voice_Communication"	"Sprachkommunikation verwenden"
"Valve_Chat_Message"	"Chat-Nachricht"
"Valve_Team_Message"	"Teamnachricht"
"Valve_Combat_Title"	"COMBAT"
"Valve_Primary_Attack"	"Primärer Angriff"
"Valve_Secondary_Attack"	"Sekundärer Angriff"
"Valve_Reload_Weapon"	"Waffe nachladen"
"Valve_Walk"	"Walk (Move Slowly)"
"Valve_Flashlight"	"Taschenlampe"
"Valve_Spray_Logo"	"Sprüh-Logo"
"Valve_ServerOfferingToConnect"	"Der Server bietet an, dich zu verbinden mit:"
"Valve_PressKeyToAccept"	"Drücke %s1, um zu akzeptieren."
"Valve_BindKeyToAccept"	"Bitte konfiguriere einen Schlüssel zum Akzeptieren."
"Valve_Weapon_Category_1"	"Waffenkategorie 1"
"Valve_Weapon_Category_2"	"Waffenkategorie 2"
"Valve_Weapon_Category_3"	"Waffenkategorie 3"
"Valve_Weapon_Category_4"	"Waffenkategorie 4"
"Valve_Weapon_Category_5"	"Waffenkategorie 5"
"Valve_Weapon_Category_6"	"Waffenkategorie 6"
"Valve_Weapon_Category_7"	"Waffenkategorie 7"
"Valve_Weapon_Category_8"	"Waffenkategorie 8"
"Valve_Weapon_Category_9"	"Waffenkategorie 9"
"Valve_Weapon_Category_0"	"Waffenkategorie 0"
"Valve_Previous_Weapon"	"Vorherige Waffe"
"Valve_Next_Weapon"	"Nächste Waffe"
"Valve_Last_Weapon_Used"	"Letzte eingesetzte Waffe"
"Valve_Miscellaneous_Title"	"VERSCHIEDENES"
"Valve_Display_Scores"	"Multiplayer-Ergebnisse anzeigen"
"Valve_Take_Screen_Shot"	"Bildschirmfoto machen"
"Valve_Quick_Save"	"Schnell speichern"
"Valve_Quick_Load"	"Schnell laden"
"Valve_Pause_Game"	"Spiel pausieren"
"Valve_Quit_Game"	"Spiel aufgeben"
"Valve_Cheer"	"Jubel"
"Valve_Activate_In_Game_GUI"	"Spielinterne GUI aktivieren"
"Valve_Change_Team"	"Team wechseln"
"Valve_Change_Class"	"Klasse wechseln"
"Valve_Use_Special_Skill"	"Besondere Fähigkeit verwenden"
"Valve_Multiplayer_Decal_Limit"	"Multiplayer-Abziehbild-Limit"
"Valve_Valid_Teams"	"Gültige Teams, für alle leer lassen"
"Valve_Frag_Limit"	"Frag Limit"
"Valve_Time_Limit"	"Time Limit (Min.)"
"Valve_Falling_Damage"	"Falling Damage"
"Valve_Normal"	"Normal"
"Valve_Realistic"	"Realistisch"
"Valve_Teamplay"	"Teamplay"
"Valve_Friendly_Fire"	"Friendly Fire"
"Valve_Weapons_Stay"	"Waffen bleiben"
"Valve_Force_Respawn"	"Respawn erzwingen"
"Valve_Footsteps"	"Fußstapfen"
"Valve_Autocrosshair"	"Auto-Fadenkreuz"
"Valve_Center_Player_Names"	"Namen der Mittelspieler"
"Valve_Switch_Weapons_Immediately"	"Wechsle sofort die Waffen"
"Valve_Automatic_Screenshots"	"Automatisch Endspiel-Screenshots machen"
"Valve_Observer_Crosshair"	"Beobachter Fadenkreuz"
"Valve_Console_Toggle"	"Entwicklerkonsole umschalten"
"Spec_Slow_Motion"	"Zeitlupe"
"Spec_No_PIP"	"\nBild-im-Bild ist im First-Person-Modus während des Spiels nicht verfügbar.\n"
"Spec_Replay"	"Instant Replay"
"Spec_Auto"	"Auto"
"Spec_Time"	"Zeit"
"Spec_Map"	"Ordner: %s1"
"Spectators"	"Zuschauer"
"Spec_PlayerItem_Health"	"%s1 (%s2)"
"Spec_PlayerItem"	"%s1"
"Spec_PlayerItem_Team"	"%s1 (%s2)"
"Spec_Duck"	"Drücke DUCK für das Zuschauermenü"
"Spec_Help_Title"	"Zuschauermodus"
"Spec_Help_Text"	"\nutzen Sie die folgenden Tasten, um den Ansichtsstil zu ändern:\n\n FIRE1 - den nächsten Spieler verfolgen\n FIRE2 - den vorherigen Spieler verfolgen\n JUMP - den Ansichtsmodus ändern\n USE - den Modus des eingefügten Fensters ändern\n \n DUCK - das Zuschauermenü aktivieren\n \n Im Übersichtskartenmodus bewegen Sie sich mit:\n\n MOVELEFT - nach links bewegen\n MOVERIGHT - nach rechts bewegen\n VORWÄRTS - hineinzoomen\n ZURÜCK - herauszoomen\n MOUSE - um Karte/Ziel drehen\n"
"Spec_Modes"	"Kameraoptionen"
"Spec_Mode0"	"Kamera ausgeschaltet"
"Spec_Mode1"	"Todeskamera"
"Spec_Mode2"	"Feste Ansicht"
"Spec_Mode3"	"Erste Person"
"Spec_Mode4"	"Verfolgungskamera"
"Spec_Mode5"	"Freier Blick"
"Spec_Mode6"	"Chase Map Übersicht"
"Spec_NoTarget"	"Keine gültigen Ziele. Kann den Kameramodus nicht wechseln."
"Spec_Options"	"Optionen"
"OBS_NONE"	"Kameraoptionen"
"OBS_CHASE_LOCKED"	"Gesperrte Verfolgungskamera"
"OBS_CHASE_FREE"	"Freie Verfolgungskamera"
"OBS_ROAMING"	"Freier Blick"
"OBS_IN_EYE"	"Erste Person"
"OBS_MAP_FREE"	"Freie Kartenübersicht"
"OBS_MAP_CHASE"	"Chase Map Übersicht"
"SPECT_OPTIONS"	"Optionen"
"CAM_OPTIONS"	"Kameraoptionen"
"PlayerName"	"Name"
"PlayerScore"	"Punktestand"
"PlayerDeath"	"Todesfälle"
"PlayerPing"	"Latenz"
"PlayerVoice"	"Stimme"
"PlayerTracker"	"Freund"
"T0A0TITLE"	"GEFAHRENKURS"
"C0A0TITLE"	"BLACK MESA IM ANFLUG"
"C0A1TITLE"	"ANOMALE MATERIALIEN"
"C1A1TITLE"	"UNVORHERGESEHENE FOLGEN"
"C1A2TITLE"	"BÜROKOMPLEX"
"C1A3TITLE"	"WIR HABEN FEINDE"
"C1A4TITLE"	"BLAST PIT"
"C2A1TITLE"	"POWER UP"
"C2A2TITLE"	"AUF EINER SCHIENE"
"C2A3TITLE"	"APPREHENSION"
"C2A4TITLE1"	"RÜCKSTANDSVERARBEITUNG"
"C2A4TITLE2"	"FRAGWÜRDIGE MORAL"
"C2A5TITLE"	"OBERFLÄCHENSPANNUNG"
"C3A1TITLE"	"VERGISS FREEMAN!"
"C3A2TITLE"	"LAMBDA CORE"
"C4A1TITLE"	"XEN"
"C4A1ATITLE"	"INTERLOPER"
"C4A2TITLE"	"DIE HÖHLE DES GONARCHEN"
"C4A3TITLE"	"NIHILANTH"
"C5TITLE"	"ENDGAME"
"Valve_Hostname"	"Hostname"
"Valve_Max_Players"	"Max. Spieler"
"Valve_Server_Password"	"Server-Passwort"
"Valve_Close"	"Schließen"
"Valve_Help"	"Hilfe"
"Valve_Settings"	"Einstellungen"
"Valve_Chat_Messages"	"Chat-Nachrichten"
"Valve_Show_Status"	"Status anzeigen"
"Valve_View_Cone"	"Kegel ansehen"
"Valve_Player_Names"	"Player Names"
"Valve_PIP"	"Bild-im-Bild"
"Valve_Overview"	"Übersicht"
"Valve_Overview_Off"	"Keine Karte"
"Valve_Overview_Small"	"Kleine Karte"
"Valve_Overview_Large"	"Große Karte"
"Valve_Overview_ZoomIn"	"Zoom In"
"Valve_Overview_Zoomout"	"Herauszoomen"
"Valve_Overview_Locked"	"Keine Rotation"
"Valve_Overview_Names"	"Namen anzeigen"
"Valve_Overview_Health"	"Gesundheit zeigen"
"Valve_Overview_Tracks"	"Tracks anzeigen"
"Valve_Auto_Director"	"Autodirektor"
"Valve_Show_Scores"	"Spielstände anzeigen"
"Valve_Game_Saved"	"Spiel gerettet"
"Valve_Orange"	"Orange"
"Valve_Yellow"	"Gelb"
"Valve_Blue"	"Blau"
