GAME
{
// PDA belongs to Charles Rivera

// Inbox

"MailFrom1"	"Từ: Phil Ryan"
"MailDate1"	"Ngày: 20/12/52"
"MailSubject1"	"Chủ đề: Thư rác!"
"MailBody1A"	"Ông Rivera,"
"MailBody1B"	"Tôi nghĩ tôi nói thay mặt cho tất cả mọi người quanh đây. Ông có thể LÀM ƠN làm gì đó về thư rác không? Cập nhật các bộ lọc hộp thư đến hoặc sao cũng được, tôi giả định rằng ông biết rõ nhất, nhưng lạy Chúa làm một cái gì đó đi! Một đồng xu nickel cho mỗi thứ rác rưởi mà tôi đã nhận trong tháng vừa qua và tôi đã có đủ cho phần còn lại của cuộc đời tôi rồi."
"MailBody1C"	"Phil Ryan"

"MailFrom2"	"Từ: Bác sĩ Miller"
"MailSubject2"	"Fwd: Ph4rm4 4 U"
"MailDate2"	"Ngày: 12/12/52"
"MailBody2A"	"Nhận lấy tất cả những thứ tốt một cách hợp pháp qua SynNet!!"
"MailBody2B"	"Isoth4m1ne 23 chỉ vởi 99$/gói, bao trọn gói."
"MailBody2C"	"Chuyển hàng liên sao có sẵn."
"MailBody2D"	"Is0tham1ne 23 sẽ làm cho bạn cảm thấy tươi mới, mạnh mẽ và cảm thấy được nghỉ ngơi cho suốt một ngày làm việc!! Các người giám sát của bạn đang uống thuốc nó--tại sao bạn lại không?"

// Sent

"MailFrom3"	"Tới: Phil Ryan"
"MailDate3"	"Ngày: 20/12/52"
"MailSubject3"	"Chủ đề: Re: Thư rác!"
"MailBody3A"	"Kính thưa ông,"
"MailBody3B"	"Cảm ơn ông vì đã gửi mail và quan tâm đến công ty. Chúng tôi đã châm cứu kĩ lời yêu cầu của ông, và ngay khi một trong những người đại lý của chúng tôi có sẵn, anh ấy sẽ được giao phụ trách vấn đề này. Đừng hồi đáp email này. Chúng tôi sẽ liên hệ với ông sớm nhất có thể."
"MailBody3C"	"Quản lý SynTek/Quản trị hệ thống."
"MailBody3D"	"C. Rivera"
}
