GAME
{
// PDA belongs to Jan Anath

// Inbox

"MailFrom1"	"差出人: ウィンダム・キング"
"MailDate1"	"送信日時: 53年02月29日"
"MailSubject1"	"件名: セキュリティについて"
"MailBody1A"	"ジャン、センサーに何か反応がある。重要かどうかはわからないが普通じゃないのは確かだ。"
"MailBody1B"	"隕石か脱出ポッドだろうか。"
"MailBody1C"	""
"MailBody1D"	"警備責任者、ウィンダム・キングより"

// Sent

"MailFrom3"	"宛先: ウィンダム・キング"
"MailDate3"	"送信日時: 53年02月29日"
"MailSubject3"	"件名: Re: セキュリティについて"
"MailBody3A"	"保安上の驚異であるかは疑わしいな。 それより施設内の企業スパイの可能性に向き合わなければならない。"
"MailBody3B"	"しっかり観察して部下にも何かあったら私に報告させるんだ。"
"MailBody3C"	"ところで、私をジャンと呼ぶんじゃあない。 管理部長アナト殿と呼んでくれればいい。"
"MailBody3D"	"管理部長、ジャン・アナトより"
}
