GAME
{
// PDA belongs to Doctor Jacques Moreau

// Sent

"MailFrom3"	"수신자: 아서 캐러딘 대장"
"MailDate3"	"날짜: 03/31/43"
"MailSubject3"	"주제: 반란"
"MailBody3A"	"플로렌자 중위에게 강요하지 말았어야 했어요. 그는 원칙과 충성심을 가진 이상주의자입니다. 그리고 지금 그는 나에게 오고 있습니다. 평생의 일이 될 수도 있었던 일에서."
"MailBody3B"	"손이 닿지 않거나 눈에 보이지 않는 한 아픔과 고통을 간과할 수 있다고 생각합니다. 하지만 그들의 뒤뜰에서 울고 있는 고문당한 강아지를 무시할 수는 없습니다. 양심은... 부담이 될 수 있습니다. 나는, 모든 사람들을 알아야 합니다."
"MailBody3C"	"그렇게 하세요. 우리들만 지불한 대가로 신텍이 결국 그들의 작은 발견을 하게 해주십시오."

"MailFrom4"	"수신자: 헬렌 모로 박사"
"MailDate4"	"날짜: 03/31/43"
"MailSubject4"	"주제: 없음"
"MailBody4A"	"베스타에게, 이것이 내 마지막 메시지가 될 것입니다. 누가 찾든 간에, 인류를 위한 나의 요청은 이렇습니다:"
"MailBody4B"	"제 이름은 자크 발레리 모로입니다. 루그두눔의 임무와 식민지 내에서 수행된 연구 프로젝트의 수석 과학자로서, 저는 직업 윤리에 거부감이 있을 뿐만 아니라 어떤 유형의 이성이나 도덕 감각에도 가혹한 실험을 규제하고 개인적으로 수행했습니다. 저는 이제 이 노력의 성과를 보존하라는 제 메시지를 전달할 군대에 간청합니다. 그들을 보호할 수 있다면, 그들 자신을 위해 그것을 사용할 위의 사람들로부터 보호하세요. 그래서 우리 종족은 여전히 역경 속에서 진보합니다. 투쟁이 없는 서사시가 없듯이, 희생이 없는 과학도 없습니다."
"MailBody4C"	"베스 타--g헬렌. 나의 꽃, 나의 지주. 만일 죽음 뒤에 장소가 있다면, 나는 어떤 신도 내가 그곳에서 당신과 함께 하는 것을 허락하지 않을 것입니다."
"MailBody4D"	"남 휴머니움"
}
