GAME
{
   	"MailFrom1"	"От: Новости операции [Хосе Данклуб]"
	"MailDate1"	"Дата: 15 октября, 2232"
	"MailSubject1"	"Тема: Операции по добыче"
	"MailBody1A"	"Показатели радиации Гленкора были верными. Мы обнаружили аномальное количество радиации в пещере под каналом к востоку от соединительного звена ДЖ-5."
	"MailBody1B"	"Источник излучения - странные прозрачные камни. Они похожи на запотевшее стекло, но очень прочные. Их больно держать в руке."
	"MailBody1C"	"Самый большой размер, который мы нашли на данный момент, примерно 7,5 сантиметровый куб, его было трудно достать с потолка пещеры, пришлось разломать на две части."
	"MailBody1D"	"Хосе Данклуб - 15 октября, 2232"

	"MailFrom2"	"От: Новости операции [Хосе Данклуб]"
	"MailDate2"	"Дата: 17 октября, 2232"
	"MailSubject2"	"Тема: Крупный улов"
	"MailBody2A"	"Ух ты, огромная находка! Вы не поверите - более 2 метров в высоту и ширину, в 100 метрах ниже входа в пещеру. Не представляю, как мы его вытащим. А стоит ли вообще?"
	"MailBody2B"	"Хосе Данклуб - 17 октября, 2232"
}
