GAME
{
// Inbox

"MailFrom1"	"De: Jornal da FAI"
"MailDate1"	"Data: 03/01/33"
"MailSubject1"	"Assunto: Log de notícias dos último 1 mês."
"MailBody1A"	"3 de dezembro de 2232 - O plano para resfriar a rocha está sendo implantado. O sistema de resfriamento deverá ser construído em 3 a 4 dias."
"MailBody1B"	"5 de dezembro de 2232 - Desastre! Os cadáveres de mineiros e pesquisadores se tornaram conscientes e se transformaram em algum tipo de espécie alienígena. Cerca de 40 deles atacaram o conector J7 e supostamente mataram mais de 300 pessoas. Engenheiros e soldados que realizavam o plano de resfriamento fugiram."
"MailBody1C"	"6 de dezembro de 2232 - Alienígenas atacaram o laboratório e o expuseram ao mundo exterior. A radiação da rocha está escapando. A catástrofe foi declarada uma ameaça de nível 8 do INES. Soldados estão eliminando os alienígenas nas fronteiras da instalação."
"MailBody1D"	"7 de dezembro de 2232 - A radiação da rocha está atingindo áreas com um raio maior que 100 quilômetros a partir do centro. A maioria das pessoas foi evacuada, no entanto, a radiação ainda está crescendo e pode ter consequências globais."
"MailBody1E"	"8 de dezembro de 2232 - O plano é despejar 10.000 toneladas de água de aviões nas instalações em 9 de dezembro para resfriar a rocha."
"MailBody1F"	"9 de dezembro de 2232 - Uma grande explosão pela manhã foi ouvida a 1.000 quilômetros de distância. Os laboratórios estão oficialmente declarados como um INFERNO. A radiação está transformando qualquer ser humano a 500 quilômetros dos laboratórios em um alienígena com garras mortais. Alienígenas interceptaram o plano de jogar água nas instalações. O pânico global está surgindo e todos os governos do mundo estão preparados militarmente."
"MailBody1G"	"20 de dezembro de 2232 - Os níveis de radiação caíram radicalmente, pois a rocha praticamente apodreceu. Uma zona de raio de 1.600 quilômetros dos laboratórios ainda é considerada perigosa, pois há muitos alienígenas."
"MailBody1H"	"3 de janeiro de 2233 - 8 dos soldados mais experientes do mundo foram selecionados para realizar um ataque ao laboratório e recuperar o conector J7. A jornada começará de trem partindo da Mongólia, a fronteira de combate alienígena mais ativa."
"MailBody1I"	"Jornal da FAI - 03 de janeiro de 2233"
}
