GAME
{
// pda belongs to Ed Savage

"MailFrom1"		"От: Николас Грей"
"MailDate1"		"Дата: 22.11.28"
"MailSubject1"	"Тема: СинТек снова в ударе"
"MailBody1A"	"На этот раз СинТек запрашивает межзвёздные координаты зоны вулканов. По какой-то причине эта зона особенно заинтересовала их. Они что, никогда не видели вулканов? Они есть на многих планетах."
"MailBody1B"	"В любом случае, я уверен, что ничего страшного, хотя странно, почему СинТек пытается ввязаться в эту операцию."
"MailBody1C"	"И ещё одно, прежде чем мы откроем академию для публичного использования, они просят продиагностировать наши телепорты, чтобы убедиться, что люди сохраняют сознание после телепортации. Должен признать, это веская причина для беспокойства. Я бы не хотел сам проходить через эти телепорты, пока не буду уверен в их безопасности."

"MailFrom2"		"От: Брайан Хоу"
"MailDate2"		"Дата: 15.02.29"
"MailSubject2"	"Тема: На: Запрос на закрытие зоны 3"
"MailBody2A"	"Извините за поздний ответ, г-н Сэведж"
"MailBody2B"	"От имени компании СинТек мы сожалеем о потере ваших бойцов. Зона 3 была закрыта."
"MailBody2C"	"Что касается предложенной вами альтернативы, мы не согласны - пустотное измерение крайне труднодоступно и потребует дорогостоящих телепортов. Кроме того, бойцы могут отвлекаться в этом измерении, если вы понимаете, о чём мы."
"MailBody2D"	"          - Сообщение передано из компании [СинТек] [Брайаном Хоу]"

"MailFrom3"		"Кому: SynTek"
"MailDate3"		"Дата: 10.01.29"
"MailSubject3"	"Тема: Запрос на закрытие зоны 3"
"MailBody3A"	"Группа испытателей 3 сообщила о разрушении зоны 3 в результате столкновения с астероидом."
"MailBody3B"	"Возможная причина: использование тяжёлых материалов отклонило траекторию космического корабля."
"MailBody3C"	"Возможная замена: пустотное измерение."
}
