GAME
{
// PDA belongs to Jan Anath

// Inbox

"MailFrom1"	"From: Windom King"
"MailDate1"	"Date: 02/29/53"
"MailSubject1"	"Subject: Security"
"MailBody1A"	"Jan, we are getting something on the sensors, I am not quite sure if it's important or not but it is unusual."
"MailBody1B"	"It could be an asteroid or a drop pod."
"MailBody1C"	""
"MailBody1D"	"Chief of Security W. King"

// Sent

"MailFrom3"	"To: Windom King"
"MailDate3"	"Date: 02/29/53"
"MailSubject3"	"Subject: Re: Security"
"MailBody3A"	"I am getting suspicious about a possible security threat. We might have to face the possibility of an industrial spy in the facility."
"MailBody3B"	"Keep your eyes open and have your staff report anything to me."
"MailBody3C"	"By the way, do NOT call me Jan. Head Administrator Anath will do just fine."
"MailBody3D"	"Head Administrator J. Anath"
}
