GAME
{
	// PDA belongs to Joseph Palmer
	// inbox
	"MailFrom1"	"Von: Dr. Foster"
	"MailDate1"	"Datum: 03/13/46"
	"MailSubject1"	"Betreff: Dosierung"
	"MailBody1A"	"Joseph,"
	"MailBody1B"	"Ich glaube, ich habe herausgefunden, warum der Patient Molligan nicht überlebt hat."
	"MailBody1C"	"Die zytostatische Dosis war nicht ausreichend. Ich empfehle, dass wir in der Endphase der Mutation eine zweite Dosis verabreichen."
	"MailBody1D"	"Dr. Foster"
	// sent mail
	"MailFrom3"	"An: Dr. Foster"
	"MailDate3"	"Datum: 03/13/46"
	"MailSubject3"	"Betreff: Aw: Dosierung"
	"MailBody3A"	"Ich stimme zu."
	"MailBody3B"	"Das nächste Mal erhöhen wir die Dosis. Ich bin mir ziemlich sicher, dass ich einen geeigneten Patienten gefunden habe."
}
