GAME
{
// Hacked into network history: Lt. Gael Florenza

// Sent

"MailFrom3"	"收件人：艾瑞斯·弗洛伦萨"
"MailDate3"	"日期：2242年06月25日"
"MailSubject3"	"主题：奇怪的事件"
"MailBody3A"	"亲爱的，"
"MailBody3B"	"卢迪南发生了一些奇怪的事情。我不是想让你担心，但把我的心情写在信里，感觉有点治愈。"
"MailBody3C"	"我不知道是怎么回事，但移民们就是在消失。莎拉，最近的一个，是一位年轻的中士，最近被分配到我的部队。对那件事要有一种严肃的漫不经心的态度，但从来没有像这样突然消失……更别提这个蠢主意背后的后勤保障了。卡拉丁上尉说他非常重视这个问题，但我还没有听到他提出一个具体的计划。如果有人在殖民地内绑架人，我们不应该调查该地区，并或者进行住所搜查吗？莫罗博士似乎只专注于六个月前我们发现的那个洞穴的研究。只有科学团队仍与他的实验室保持联系，即使如此，他的亲密人员似乎已经减少了一半以上。尤其是今天，我真希望海伦小姐还和我们在一起。她应该知道，不该把自己人蒙在鼓里。"
"MailBody3D"	"爱你的丈夫"

"MailFrom4"	"收件人：艾瑞斯·弗洛伦萨"
"MailDate4"	"日期：2242年11月14日"
"MailSubject4"	"主题：启示录"
"MailBody4A"	"[发送失败：外部通信受限]"
"MailBody4B"	"艾瑞斯，一想到要告诉你这个消息我就很难过。从第一天开始，莫罗博士就是安排了失踪案的人。当这些所谓的“志愿者”在卡拉丁上尉的明确支持下，不断被派往他的实验室时，他扯下了他的谎言和掩盖。"
"MailBody4C"	"我不知道他们拿他们做什么。定居者中有些人向我们这些看守人施压，要求我们说出真相。我担心他们无法接受真相……也许我也不能，但既然我们是拿枪的人，我们就得判决他们，是否表现出了类似打斗的行为。昨天或前天，一个女人愤怒地哭着去拿我的武器……所以我开枪打了她。自那以后的每一秒，我都在问自己，我们是什么时候、如何开始，把同胞当作牲口一样对待的。我有…奇怪的梦。关于海伦·莫罗。我只希望她丈夫的行为有利于进步，有利于我们所有人的幸福。为更大的善而恶，因为我不能以其他方式接受它。"
"MailBody4D"	"你的丈夫，无论如何都爱你"
}
