GAME
{
// PDA belongs to Lt. Cain

// Inbox

"MailFrom1"	"Từ: Laura Callen"
"MailDate1"	"Ngày: 18/12/52"
"MailSubject1"	"Chủ đề: Tiền đồn 17"
"MailBody1A"	"Trung úy Cain, chúng tôi vừa mới nhận được tin từ B. Campbell rằng giao hàng số 4903877 chứa những vật liệu hữu cơ không rõ nguồn gốc, tất cả đều được đông lạnh và lưu trữ trong các container. Điểm đến của tàu chở hàng là Trạm nghiên cứu Syntek/Trái đất."
"MailBody1B"	"Tôi muốn ông đi hỏi nhân viên của ông một lần nữa và giúp tôi tìm ra ai đang vi phạm luật hạn chế số #77-C. (IA cần phải được thông báo về việc chuyển vật liệu hữu cơ không rõ nguồn gốc tới Trái đất; 77-C/1.1.4)"
"MailBody1C"	"Campbell cũng đang báo cáo về sự mất tích của một số công nhân. An ninh thuộc địa là trách nhiệm của ông. Tôi mong đợi ông gửi đủ nhân viên để giữ cho khu vực này được an toàn."
"MailBody1D"	"L. Callen"

"MailFrom2"	"Từ: Alena"
"MailSubject2"	"Chủ đề: Re: Chào"
"MailDate2"	"Ngày: 15/11/52"
"MailBody2A"	"Chào anh,"
"MailBody2B"	"Làm việc bên ngoài hệ thống lõi có thể là một trải nghiệm khá cô đơn. Chương trình Hẹn hò Starfire SubNet có thể là câu trả lời cho các vấn đề của anh! Gặp nhau để trò chuyện hoặc có thể hơn thế nữa? Gọi số (+490387439)"
"MailBody2C"	"Alena,"
"MailBody2D"	"xxx"

// Sent

"MailFrom3"	"Tới: Laura Callen"
"MailDate3"	"Ngày: 21/12/52"
"MailSubject3"	"Chủ đề: Tiền đồn 17"
"MailBody3A"	"Bà Callen,"
"MailBody3B"	"Tôi biết tất cả về luật hạn chế số #77-C. Chúng tôi đã tìm kiếm ở Tiền đồn 17 và đã tìm thấy hàng hóa sống. Chúng tôi đã nhốt khóa nó ở Khu vực 39 và nó sẽ ở yên đấy cho tới khi chúng tôi nhận được lệnh từ Interstellar Alliance về cách để tiến hành. Chúng tôi vẫn chưa tìm thấy được nhân sự bị mất tích. Đây không phải lần đầu một số công nhân bị say xỉn và biến mất cho một hoặc hai ngày. Vì không có gì thực sự có thể bị mất tại Vereon XII, tôi chắc là chúng sẽ lộ mặt sớm thôi. Ông Campbell có mệnh lệnh để cập nhật tình hình cho tôi mỗi 6 tiếng."
"MailBody3C"	"Trung úy Cain, An ninh SynTek"
}
