GAME
{
// PDA belongs to Brian Howe

// Inbox

"MailFrom1"	"发件人：海伦.杨"
"MailDate1"	"日期：2252年12月23日"
"MailSubject1"	"主题：中庭关闭！"
"MailBody1A"	"嗨，"
"MailBody1B"	"他们今早不得不关闭中庭！不只是南楼，还有整个设施。我们被告知，污染是从2号平台通过通风系统扩散的。安保人员正在守卫1号平台的整个西北区域。他们很不友好。"
"MailBody1C"	"与此同时，我今天早上收到了那个白痴明的邮件。看来他和他的手下还在实验室里工作，研究你发现的那些蛋。我肯定他的工作没有得到IA的批准。"
"MailBody1D"	"待会儿见--海伦"

// Sent

"MailFrom3"	"收件人：海伦.杨"
"MailDate3"	"日期：2252年12月23日"
"MailSubject3"	"主题：回复：中庭关闭！"
"MailBody3A"	"海伦，这里的情况很糟糕！我们今晚又发现了一具尸体。这只被吃掉了一部分。这下面有东西。某种怪物。凯恩和他的十几个手下出现了，坐电梯去了帝位站，让我们别靠近。过了一会儿，我们听到了枪声。"
"MailBody3B"	"当凯恩回来时，他只剩下两个人，还都受了重伤。凯恩，告诉我必须把我们的人从矿井里救出来。我说这是不可能的，他们分散在各个地方。他只是耸了耸肩。说现在是我的问题了。然后他离开了。"
"MailBody3C"	"所以，我要带上戴夫和汤姆。我们再最后找一次失踪的工人。我要你把这件事通知IA探员劳拉.考伦。顺便把明的事告诉她。她是唯一有权对抗凯恩的人。"
"MailBody3D"	"小心点！布莱恩"
}
