GAME
{
// Computer belongs to Dr. Jacques Moreau

// Sent

"MailFrom3"	"Tới: Cơ sở dữ liệu cá nhân"
"MailDate3"	"Ngày: 11/01/42"
"MailSubject3"	"Chủ đề: Ghi chú nghiên cứu (2)"
"MailBody3A"	"Nó vẫn là khó đối với tôi để tuyên bố sự sinh đẻ của chủ thể đối với hành tinh này, nhưng các phân tích cơ bản của chúng tôi về mẫu bào tử được phát hiện bởi cuộc thám hiểm Stibius đã làm chắc chắn ít nhất một điều: cuộc sống có tồn tại ở đây, trên Cassius-III. Mặc dù là tôi sẽ không hoàn toàn bác bỏ khái niệm cho rằng các đột biến thuần chất hơn hoặc lạ kỳ hơn có thể sinh sống ở các phần khác của thiên hà, cho rằng khả năng thích nghi và khả năng phục hồi chúng đã chứng minh (như được chép lại ở đây)."
"MailBody3B"	"I - Đang từ từ tiến triển sự hiểu biết của chúng tôi về sinh vật ngoài hành tinh, chúng tôi đã xác lập rằng các đối tượng tại cuộc thí nghiệm, khi bị tách ra khỏi sinh cảnh tự nhiên của chúng, theo một cách nào đó vận dụng chính tế bào chúng để chúng có thể tạo thành một hình dạng rắn - có lẽ hoạt động dưới dạng một cơ chế tự bảo quản. Dù là nó vẫn còn quá sớm để chắc chắn, nó có vẻ như là bộ gen của bọ ngoài hành tinh cho phép sinh vật mang vác nó duy trì một số kiểu cộng sinh giữa mỗi tế bào riêng lẻ."
"MailBody3C"	"II - Trong khi đang đo lường thái độ dưới các tình trạng môi trường khác nhau, tôi đã sau đó nhận thấy rằng chúng (các bào tử) phát triển trên trọng lực nhẹ hơn, dường như có khuynh hướng để phân chia thành triệu cơ thể cực nhỏ có khả năng chuyển động trong không khí. Tuy nhiên, trong tất cả mọi thí nghiệm mà tôi đã tiến hành đến bây giờ, đó là niềm tin của tôi rằng một con dễ nâng lên mưu đồ là cái con cuối cùng này, điều mà liên quan đến việc đặt một mẫu bào tử dưới tình trạng ở cạn với sự ăn ở chung với một loại động vật có vú. Vì mục đích nó tôi đã dùng Caesar, một trong các chuột thí nghiệm của chúng tôi."
"MailBody3D"	"III - Đó là ý định của tôi để quan sát sự phản ứng theo bản năng của cộng sinh ở trạng thái gần một thực thể ngoại quốc. Nếu sự chắc chắn của các kết quả rõ ràng vẫn chưa được thiết lập, nó có vẻ như phản xạ chính của bào tử được gồm có không phải là trong việc xây dựng một hệ thống tự vệ (như nó đã làm dưới các tình trạng của trọng lực nhẹ), nhưng để tấn công dạng sống gần nhất bằng một biểu lộ hành vi hung hăng nhất. Trong khoảng thời gian một tiếng, các tế bào ngoài hành tinh đã có thể thâm nhập cơ thể của Caesar thông qua lỗ mũi trước khi biểu hiện lại dưới hình thức khối u thoát ra từ lưng, bụng và mõm của hắn. Đối tượng đã chết gần 22 phút sau sự xuất hiện của khối u đầu tiên. Những gì tôi bây giờ cần làm là nghiên cứu những sự tăng trưởng này sau khi đã kéo chúng ra khỏi thịt của Caesar, điều mà có thể sẽ đóng vai trò dưới dạng hoạt động chính của tôi trong vài tuần tới."

"MailFrom4"	"Tới: Cơ sở dữ liệu cá nhân"
"MailDate4"	"Ngày: 19/04/42"
"MailSubject4"	"Chủ đề: Ghi chú nghiên cứu (8)"
