GAME
{
// PDA belongs to Brian Howe

// Inbox

"MailFrom1"	"差出人: ヘレン・ヤング"
"MailDate1"	"送信日時: 52年12月23日"
"MailSubject1"	"件名: ローラ・カレンについて"
"MailBody1A"	"ブライアンへ、"
"MailBody1B"	"ティモール駐屯地には近づかないで！ 今すぐ出来るだけ早くメイン施設に戻ってちょうだい。 ケイトは行方不明で誰も彼女の居場所を知らない。 フィルが言うには最低でも他に2人行方不明者がいるらしいの。 今夜ミンに会ってみる。"
"MailBody1C"	"できる限り早く戻ってきてね。 愛してるわ。"
"MailBody1D"	"ヘレンより"

"MailFrom2"	"差出人: ヘレン・ヤング"
"MailDate2"	"送信日時: 52年12月24日"
"MailSubject2"	"件名: どこにいるの？？"
"MailBody2A"	"ブライアン、返事をしてちょうだい！ どこにいるのよ？ 心配なの、大丈夫？ ミンあの卵で実験をしていた--あの実験は明らかに違法よ。 今朝1番デッキが封鎖されたわ。汚染事故があったって噂だけど確認できてないわ。 SynTekは私達を闇に葬り去るつもりよ。 主要施設のどこかから銃声も聞こえたわ。"
"MailBody2B"	"連絡をちょうだい。 あなたがまだ地下のどこかに取り残されているなんて考えにもう耐えられない。"
"MailBody2C"	"ヘレンより"

// Sent
}
