GAME
{
	// PDA belongs to Brad Campbell
	// inbox

	"MailFrom1"	"差出人: ローラ・カレン"
	"MailDate1"	"送信日時: 52年12月18日"
	"MailSubject1"	"件名: Re: 貨物の発送"
	"MailBody1A"	"こんにちはブラッド、"
	"MailBody1B"	"おかしいの。 入搬出記録を検索してみたけど、「貨物4903877」に関するファイルが一切見つからなかったわ。"
	"MailBody1C"	"私が例のメールを追跡し終わるまでその貨物はそのままにした方がよさそうよ。 主要複合施設のどこかから送信されたのはわかってるわ。 誰があの命令を出したのか調べるのはそこまで難しくないはず。"
	"MailBody1D"	"後で詳しく話すわ。気を付けて。"

	"MailFrom2"	"差出人: ローラ・カレン"
	"MailDate2"	"送信日時: 52年12月18日"
	"MailSubject2"	"件名: Re:Re: 貨物の発送"
	"MailBody2A"	"ブラッド、どうやら送り主はケインみたい。 彼に聞いてみたけど全部否定されたわ。 彼が言うにはコンピューターは誰でも使えた、それで十分説明つくだろうと。でも私にはまだ疑わしく見えるわ。"
	"MailBody2B"	"あなたにはそのコンテナが格納庫から出る前に調査してほしいの。"

	// sent mail
	"MailFrom3"	"宛先: ローラ・カレン"
	"MailDate3"	"送信日時: 52年12月18日"
	"MailSubject3"	"件名: Re: 卵について"
	"MailBody3A"    "ローラへ、"
	"MailBody3B"	"こっちじゃ事態はどんどんおかしな事になってるぞ。 アンタからのメールを受け取って例の卵の所に戻ったんだ。 そしたら殻が割れて中身が空になっていた。"
	"MailBody3C"	"第17前線基地に変な物が無いか二人一組で捜索することにしたんだ。 人手を増やしてもらえるとありがたいね。"
	"MailBody3D"	"今何か怪しいことが起きているって前提で動くのは正しいと思う。 地球へ生体貨物を送るのは星間連盟制約条項#77-Cに反している。 こんなの間違えてやるやつなんているわけがない。"
}
