GAME
{
// PDA belongs to Laura Callen

// Inbox

"MailFrom1"	"差出人: ブラッド・キャンベル"
"MailDate1"	"送信日時: 52年12月18日"
"MailSubject1"	"件名: Re:Re: 卵について"
"MailBody1A"	"ローラへ、"
"MailBody1B"	"部下のうち2人と連絡が取れなくなった。 あるグループはセクター24を捜索中に奇妙な音が聞こえたと報告している。 何かは見当もつかない。 ここはもう駄目かもしれない。"
"MailBody1C"	"増援はどうなった？"

"MailFrom2"	"差出人: ブラッド・キャンベル"
"MailDate2"	"送信日時: 52年12月20日"
"MailSubject2"	"件名: 助けてくれ"
"MailBody2A"	"コルテス、ジョーンズ、ステファニー、みんな死んでしまった。手足が無くなっている。 ジョーンズは肉挽き機に足を突っ込んだみたいになっていた。 今朝ケインと彼の部下が数名到着したが、全く強引に、貨物4903877について質問してきた。"
"MailBody2B"	"あいつらには他の行方不明の職員の捜索が終わるまで隠れているように言われた。 セキュリティ端末を盗聴して、あいつらが貨物船に例のコンテナを積み込むのを見ていた。 言うまでもないが、あいつらは戻ってこなかった。"
"MailBody2C"	"乗り物無しで主要施設に戻るのは絶対に無理だ。 外は氷点下-50度のはずだ。 まったくどうなってやがるんだ？！？"
}
