GAME
{
// PDA belongs to Jan Anath

// Inbox

"MailFrom1"	"От: Уиндом Кинг"
"MailDate1"	"Дата: 29.02.53"
"MailSubject1"	"Тема: Серьёзная угроза"
"MailBody1A"	"Главный администратор Анат, у меня плохое представление обо всём этом, но всё же."
"MailBody1B"	"Я уверен, что мы столкнулись с серьёзной угрозой."
"MailBody1C"	"Я рекомендую связаться с МВС. Это может быть нападение роя."
"MailBody1D"	"Офицер безопасности - У. Кинг"

// Sent

"MailFrom3"	"Кому: Уиндом Кинг"
"MailDate3"	"Дата: 29.02.53"
"MailSubject3"	"Тема: На: Серьёзная угроза"
"MailBody3A"	"Нападение роя? В прошлый раз, когда ты так сказал, единственный жучок, которого я видел, это была муха, которую я прихлопнул папкой."
"MailBody3B"	"Забудь о своём прошлом, Кинг. Мы здесь не на поле боя. Мы создаём ядерное оружие, а между тем среди нас зачесался террорист, который в свою очередь может находиться на этой самой базе."
"MailBody3C"	""
"MailBody3D"	"Ян Анат - Главный администратор"
}
