GAME
{
// Hacked into network history: Lt. Gael Florenza

// Sent

"MailFrom3"	"收件人：艾瑞斯·弗洛伦萨"
"MailDate3"	"日期：2240年01月18日"
"MailSubject3"	"主题：着陆报信"
"MailBody3A"	"亲爱的，"
"MailBody3B"	"通信团队要求我在安装过程中保持任何书面传输的简短，所以就这样了。我们终于在卡修斯三号着陆了。不出所料，这里的天气不是最温和的。更不用说我们还在很大程度上依赖航天飞机的关键部件。尽管如此，每个人都在尽最大努力让这里有家的感觉。就像值得一讲的故事。但我想这些信就够了，从我的这个雪岛到你现在所在的地方，繁星的海洋。"
"MailBody3C"	"离开你的港湾已经5个月了，亲爱的艾瑞斯，但我已经感觉在海上度过了永恒。我的目标是让这个不起眼的殖民地成为你和我、以及你体内那个正在成长的小个子的庇护所。"
"MailBody3D"	"生而为人"

"MailFrom4"	"收件人：艾瑞斯·弗洛伦萨"
"MailDate4"	"日期：2240年02月07日"
"MailSubject4"	"主题：梦想的开始"
"MailBody4A"	"亲爱的，"
"MailBody4B"	"有人告诉我，我转发的任何消息可能要经过一段时间才能到达你那里。原因是……一些技术上的胡言乱语我就不讲了，为了你好。我希望你和孩子一切都好。这里的建设正在进行，研究中心的安装是我们进步的里程碑。不过，地质考察还需要几个月的时间，这足够让生命维持系统显示绿色了。"
"MailBody4C"	"这次任务的首席科学家莫罗小姐和莫罗先生满怀热情，甚至充满了灵感。定居者们称他们为“卢迪南的亚当和夏娃”。看到它让他们脸上露出了急需的笑容，我多少有点放心，尽管我无法真正解释为什么。我可以肯定的是，我会一直写下去，直到我们都在这里，在一起。谁知道呢，也许有天我们就建好了自己的幼儿园。"
"MailBody4D"	"生而为人"
}
