GAME
{
	// PDA belongs to Dr. David Foster

	// Sent
	"MailFrom3"	"Кому: Эндрю Уорд"
	"MailDate3"	"Дата: 16.03.46"
	"MailSubject3"	"Тема: Нужна помощь"
	"MailBody3A"	"Эндрю"
	"MailBody3B"	"Как глава безопасности этого госпиталя, ваша работа заключается в том, чтобы сдерживать такие вещи."
	"MailBody3C"	"Мы изолировали агрессивные образцы на самых низких уровнях объекта. Мы не знаем, сколько ещё мы можем держать их там."
	"MailBody3D"	"Найдите решение!"

	"MailFrom4"	"Кому: Эндрю Уорд"
	"MailDate4"	"Дата: 16.03.46"
	"MailSubject4"	"Тема: Я буду следующий"
	"MailBody4A"	"Эндрю"
	"MailBody4B"	"Доктор Арчибальд, Мейсон и Милан мертвы."
	"MailBody4C"	"Теперь ты можешь делать всё что хочешь, но я убираюсь отсюда. Тебе лучше найти боеприпасы, если ты планируешь остаться здесь."
}
