GAME
{
// Inbox

"MailFrom1"	"差出人: ハンク・レトラー"
"MailDate1"	"送信日時: 31年3月19日"
"MailSubject1"	"件名: 皆聞いてくれ 1枚目 ＆非表示"
"MailBody1A"	"私、主任、ブラッド、オリオンで主導していた検体がどれだけ高温に耐えられるかの実験で、恐ろしい結果が出た。 高温下で膨張したハーベスターは体内に大量のゼノマイトを産み出すことができる。"
"MailBody1B"	"研究セクターが去年の7月にできた頃、ハーベスターが通気口に逃げ込んだのを見たが、私は気にするほどのことでもないと思い誰にも言わなかった。"
"MailBody1C"	"完全に間違っていた！ 全員に伝えるべきだったんだ、これは私の責任だ！ ハーベスターが産み出したゼノマイトは卵を産み、もっと恐ろしいゼノマイトの変異種が生まれるだろう。"

"MailFrom2"	"差出人: ハンク・レトラー"
"MailDate2"	"送信日時: 31年3月19日"
"MailSubject2"	"件名: 皆聞いてくれ 2枚目 ＆非表示"
"MailBody2A"	"これがどんなにヤバいかわかってるか！？ 通気口に逃げ込んだハーベスターが地下区画に巨大な巣を作るのに十分な時間が経過してしまった。"
"MailBody2B"	"ワンマン大尉にこの事を伝えると彼は23人の兵士を地下セクターの調査に送ってくれた。 一人残らず全員死んでしまったよ。"
"MailBody2C"	"俺たちは全員もう墓に片足を突っ込んでいるんだ。俺たちの95メートル真下には成体になった検体が最低でも200匹以上はいる。"
"MailBody2D"	"俺はこの事を発電セクターにいる科学者とエンジニアに伝えてみる。 どんな処罰を受けようとも構わない、世界に知らせなければならないんだ！"
}
