GAME
{
// PDA belongs to Windows

// Inbox

"MailFrom1"	"От: Чайлдс"
"MailDate1"	"Дата: 02.02.54"
"MailSubject1"	"Тема: На: Питомники"
"MailBody1A"	"Мужик, это было какое-то мегастранное дерьмо."
"MailBody1B"	"Когда Беннингс подбежал ко мне, я подумал, что они с Маком сошли с ума. Может Мак уже давно умом тронулся?"
"MailBody1C"	"И кто бы мог подумать, что огнемёт действительно пригодится?"

"MailFrom2"	"От: Чайлдс"
"MailDate2"	"Дата: 02.02.54"
"MailSubject2"	"Тема: На: На: Питомники"
"MailBody2A"	"Не то чтобы я жалуюсь, это определённо спасло наши задницы, но не кажется ли это немного безответственным, оставляя очень взрывоопасное и прямо-таки опасное оружие в руках кучки исследователей, практически не имеющих контакта с внешним миром в течение нескольких месяцев подряд?"
"MailBody2B"	"Я имею в виду, всё, что нужно, это чтобы один из нас слегка сошёл с ума, и мы все поджаримся"

// Sent

"MailFrom3"	"Кому: Виндоус"
"MailDate3"	"Дата: 02.02.54"
"MailSubject3"	"Тема: На: Питомники"
"MailBody3A"	"Напрашивается вопрос, мы же арктические исследователи, а не солдаты, так какого чёрта у нас делает огнемёт? Для чего он в принципе может нам пригодиться? Почему он здесь?"
"MailBody3B"	"На этой ноте приглядывайте за доктором Блэр, он, кажется, немного на взводе после инцидента в собачьем питомнике."
}
