GAME
{
	// PC belongs to Doctor Lin Da Silva

	// Inbox

	"MailFrom1"	"差出人: ジョナサン・ドーランド"
	"MailDate1"	"送信日時: 42年2月13日"
	"MailSubject1"	"件名: モロー博士は？"
	"MailBody1A"	"シルヴァ博士、モロー博士の研究室に運べと「頼まれた」キノコの配達はこれで三度目ですよ、三度目。 あなたが何をしているかはわかりませんが、原生生物の発見とやらは役員会が気にかける程に凄いってのは一応わかります。 火のない所に煙は立たぬと言うけれど、肝心の火を誰も見ようとしないのはどういう事なんでしょうね？"
	"MailBody1B"	"頼みますよリン。あの人の奥さんが亡くなってからあなたが第2責任者なんですからね。 さて、お給料のために件の物を積み込む時間だ。 できればこれっきりにして下さいよ。"

	"MailFrom2"	"差出人: ジョナサン・ドーランド"
	"MailDate2"	"送信日時: 46年2月14日"
	"MailSubject2"	"件名: RE: RE: モロー博士は？"
	"MailBody2A"	"アイアイサー、ハッキリわかりました、ダ・シルヴァ博士。"
	"MailBody2B"	"Nam Humanum(ヒトのために) (^^)"

	// Sent mail

	"MailFrom3"	"宛先: ジョナサン・ドーランド"
	"MailDate3"	"送信日時: 42年2月13日"
	"MailSubject3"	"件名: RE: モロー博士は？"
	"MailBody3A"	"しっかりと読んで下さいね、ジョナサン。"
	"MailBody3B"	"私をファーストネームで呼ぶことは許しません、ましてや普段から馴れ馴れしすぎます。 プロとしての人間関係を厳しく保って下さい、新アーヴルの穴ぐらについてについて知らせたいことが無ければね？ どの穴かはわかりませんが、貨物船に放り込まれた哀れな卑しい重罪人達の中でもがく、神に見放された愚かにも優しすぎる女の子でもいるかもしれませんよ。"
	"MailBody3C"	"今回のことは不確定要素か何かだと思ってちょうだい、ジョニー。 モロー博士は研究のことで手が一杯なの。 あなたのここでの仕事はただの助手、知っておくべきことはそれだけです。 だからその「これっきり」という言葉は心の底に仕舞っておきなさい。"
	"MailBody3D"	"これでハッキリわかって頂けると嬉しいんですけどね？"

	"MailFrom4"	"宛先: ゲール・フローレンス大尉"
	"MailDate4"	"送信日時: 43年1月1日"
	"MailSubject4"	"件名: (空欄)"
	"MailBody4A"	"これを終わらせることができるならお願い、あなたが研究所に入れるようにしておくわ。"
	"MailBody4B"	"この会話記録は全て消去して、あのお方がまだ私達を嗅ぎつけてないことを祈りましょう。"
}
