GAME
{
// PDA belongs to cave_geologist1

// Inbox

"MailFrom1"	"发件人：地质勘测部"
"MailDate1"	"日期：2257年17月09日"
"MailSubject1"	"主题：回复：洞穴系统的初步结果"
"MailBody1A"	"干得好，赫伯特，根据你报告里的数据，我不得不同意你的看法。洞穴系统太不稳定，不值得冒险开采铁矿石。"
"MailBody1B"	"我希望他们发给我们的那些激光设备对你有用。不幸的是，那个新来的简森用他的枪打了一下，造成了塌方。幸运的是，没有人受重伤，尽管这个新来的家伙会希望，他在行政部门对他进行处理时处于昏迷状态。"
"MailBody1C"	"当然，我知道我不需要提醒你小心使用它。"
"MailBody1D"	"- 杰夫.泰勒，地质勘测部。"

// Sent

"MailFrom3"	"收件人：地质勘测部"
"MailDate3"	"日期：2257年17月09日"
"MailSubject3"	"主题：洞穴系统的初步结果"
"MailBody3A"	"靠近旧哨所的洞穴系统，主要由砂岩和其他软岩组成。有一些小块的铁和其他更坚固的材料，使得洞穴能够存在到如此广阔的程度。"
"MailBody3B"	"然而，我不得不建议，不要采矿，因为整体结构是不稳定的，部分原因是上述软材料的构成。我附上了一份更详尽的报告。"
"MailBody3C"	"附注：这些洞穴系统在地质学上非常有趣。我从来没有遇到过，在没有雨水的情况下形成如此大的洞穴的例子。如果我不懂行的话，我甚至会说它们不是完全天然的。但已经证实，塔诺尔从来没有能力培育任何土著生物。"
"MailBody3D"	"- 赫伯特.格拉夫森，现场研究员，地质勘探部。"
}
