GAME
{
// PDA belongs to Tony Dawson

// Inbox

"MailFrom1"	"发件人：芭芭拉.怀特"
"MailDate1"	"日期：2257年06月10日"
"MailSubject1"	"主题：回复：回复：额外的安保"
"MailBody1A"	"托尼，"
"MailBody1B"	"谢谢你指派了额外的安保人员。当这些人试图用武力取回他们的商品时，每个人都很震惊，额外的安全措施确实帮助人们感到更安心。"
"MailBody1C"	"我还听说珍妮情况很好，有望完全康复。请告诉亚当，他看起来很担心她。"
"MailBody1D"	"芭芭拉.怀特 - 货物仓储主管"

"MailFrom2"	"发件人：安德鲁.史密森"
"MailDate2"	"日期：2257年04月10日"
"MailSubject2"	"主题：可能有偷渡者！"
"MailBody2A"	"托尼，"
"MailBody2B"	"你能派人到6号机库来吗，我想这里的通风口里可能有东西。也许是个偷渡者之类的。也许是某人的宠物被放出来了之类的，因为我听到的不是人的声音。"
"MailBody2C"	""
"MailBody2D"	"安德鲁.史密森 - 航天港维护员"

// Sent
"MailFrom3"	"收件人：芭芭拉.怀特"
"MailDate3"	"日期：2257年06月10日"
"MailSubject3"	"主题：没收物品"
"MailBody3A"	"我们今天有一个有趣的发现。320XYXF9A航班上的一名乘客试图把采矿激光放进他的手提行李里。我们告诉他，合适的程序是意味着，所有动力设备和武器必须在密封的容器中转移，并提前申报。"
"MailBody3B"	"我已经告诉他需要填哪些表格，才能把它还给他，他总体上接受得很好。与此同时，我把它锁在了保安站的武器库里。我觉得我们还是留着它比较好。在那次枪击事件之后，我想如果你的人不用使用高能激光枪，他们会感觉好多了。我今天晚些时候会给你发一份完整的报告，这样你就可以记录在案了。"
"MailBody3C"	"喔，我想亚当已经知道珍妮的事了。他请了一个下午的假去医院，我猜他们俩之间肯定有什么事。"
"MailBody3D"	"托尼.道森 - 航天港安全员"

"MailFrom4"	"收件人：安德鲁.史密森"
"MailDate4"	"日期：2257年04月10日"
"MailSubject4"	"主题：回复：可能有偷渡者！"
"MailBody4A"	"安德鲁，我再说最后一遍，通风口里什么都没有！这是你上个月第四次喊狼来了。上周是3号机库，前一周是燃料仓库b。每次你派我们去做这种徒劳的搜寻，我们都找不到一丁点证据，证明那里确实有东西。我受够了让我的人在通风系统里爬来爬去，只为了满足你的幻想。"
"MailBody4B"	"这本来不是我的事，但我已经和你部门的其他人谈过了，我们都同意你需要帮助。我要和行政部门谈谈，建议你接受一些咨询。"
"MailBody4C"	""
"MailBody4D"	"托尼.道森 - 航天港安全员"

}
